,x,y,most_significant_source,fire_risk
0,-122.81875,46.615138888888886,elevation,2.2941
1,-122.81875,46.61486111111111,ndvi,4.2981
2,-122.81875,46.61458333333333,ndvi,4.0471
3,-122.81875,46.61430555555555,ndvi,4.4071
4,-122.81875,46.61402777777778,ndvi,4.0471
5,-122.81875,46.61375,ndvi,4.1671000000000005
6,-122.81875,46.61347222222222,ndvi,4.4071
7,-122.81875,46.61319444444444,ndvi,4.4071
8,-122.81875,46.61291666666666,ndvi,4.4071
9,-122.81875,46.61263888888889,ndvi,4.4071
10,-122.81875,46.61236111111111,ndvi,4.4071
11,-122.81875,46.61208333333333,ndvi,4.658100000000001
12,-122.81875,46.61180555555556,ndvi,4.4071
13,-122.81875,46.61152777777777,ndvi,4.4071
14,-122.81875,46.61125,ndvi,4.4071
15,-122.81875,46.610972222222216,ndvi,4.4071
16,-122.81875,46.61069444444444,ndvi,4.783100000000001
17,-122.81875,46.610416666666666,ndvi,5.0341000000000005
18,-122.81875,46.61013888888888,ndvi,4.674100000000001
19,-122.81875,46.60986111111111,ndvi,4.8001000000000005
20,-122.81875,46.60958333333333,ndvi,4.9091000000000005
21,-122.81875,46.60930555555555,ndvi,5.0341000000000005
22,-122.81875,46.609027777777776,ndvi,4.674100000000001
23,-122.81875,46.60875,ndvi,5.0341000000000005
24,-122.81875,46.60847222222222,ndvi,4.783100000000001
25,-122.81875,46.60819444444444,ndvi,4.658100000000001
26,-122.81875,46.60791666666666,ndvi,4.2981
27,-122.81875,46.607638888888886,ndvi,4.4071
28,-122.81875,46.60736111111111,ndvi,4.1671000000000005
29,-122.81875,46.60708333333333,ndvi,4.0471
30,-122.81875,46.60680555555555,ndvi,4.0471
31,-122.81875,46.60652777777778,ndvi,4.418100000000001
32,-122.81875,46.60625,ndvi,4.418100000000001
33,-122.81875,46.60597222222222,ndvi,4.0471
34,-122.81875,46.60569444444444,ndvi,4.0471
35,-122.81875,46.60541666666666,ndvi,4.242000000000001
36,-122.81875,46.60513888888889,ndvi,4.0421000000000005
37,-122.81875,46.60486111111111,ndvi,3.9221
38,-122.81875,46.60458333333333,ndvi,4.0421000000000005
39,-122.81875,46.60430555555556,ndvi,3.9061
40,-122.81875,46.60402777777777,ndvi,3.9061
41,-122.81875,46.60375,ndvi,3.9061
42,-122.81875,46.60347222222222,ndvi,3.6661
43,-122.81875,46.60319444444444,ndvi,3.5461
44,-122.81875,46.602916666666665,ndvi,3.4211
45,-122.81875,46.60263888888888,ndvi,3.5411
46,-122.81875,46.60236111111111,ndvi,3.5411
47,-122.81875,46.60208333333333,ndvi,3.616
48,-122.81875,46.60180555555555,ndvi,3.741
49,-122.81875,46.601527777777775,ndvi,3.741
50,-122.81875,46.60125,ndvi,3.621
51,-122.81875,46.60097222222222,ndvi,3.741
52,-122.81875,46.60069444444444,ndvi,3.741
53,-122.81875,46.60041666666666,ndvi,3.741
54,-122.81875,46.600138888888885,ndvi,3.5461
55,-122.81875,46.59986111111111,ndvi,3.6661
56,-122.81875,46.59958333333333,ndvi,3.6661
57,-122.81875,46.59930555555555,ndvi,3.9221
58,-122.81875,46.59902777777778,ndvi,4.0421000000000005
59,-122.81875,46.59875,ndvi,4.0421000000000005
60,-122.81875,46.59847222222222,ndvi,4.0421000000000005
61,-122.81875,46.59819444444444,ndvi,3.9221
62,-122.81875,46.59791666666666,ndvi,3.9221
63,-122.81875,46.59763888888889,ndvi,4.0471
64,-122.81875,46.59736111111111,ndvi,4.0471
65,-122.81875,46.59708333333333,ndvi,4.2981
66,-122.81875,46.59680555555556,ndvi,4.674100000000001
67,-122.81875,46.59652777777777,ndvi,4.674100000000001
68,-122.81875,46.59625,ndvi,5.0341000000000005
69,-122.81875,46.59597222222222,ndvi,5.2851
70,-122.81875,46.59569444444444,ndvi,5.2851
71,-122.81875,46.595416666666665,ndvi,5.2851
72,-122.81875,46.59513888888888,ndvi,5.737
73,-122.81875,46.59486111111111,ndvi,5.612
74,-122.81875,46.59458333333333,ndvi,5.486000000000001
75,-122.81875,46.59430555555555,ndvi,5.109
76,-122.81875,46.594027777777775,ndvi,5.109
77,-122.81875,46.59375,ndvi,5.109
78,-122.81875,46.59347222222222,ndvi,4.7330000000000005
79,-122.81875,46.59319444444444,ndvi,4.7330000000000005
80,-122.81875,46.59291666666666,ndvi,4.7330000000000005
81,-122.81875,46.592638888888885,ndvi,4.984
82,-122.81875,46.59236111111111,ndvi,4.984
83,-122.81875,46.59208333333333,ndvi,4.984
84,-122.81875,46.59180555555555,ndvi,4.549100000000001
85,-122.81875,46.59152777777778,ndvi,4.7490000000000006
86,-122.81875,46.59125,ndvi,5.109
87,-122.81875,46.59097222222222,ndvi,5.109
88,-122.81875,46.590694444444445,ndvi,4.6989
89,-122.81875,46.59041666666666,ndvi,4.6989
90,-122.81875,46.59013888888889,ndvi,4.6989
91,-122.81875,46.58986111111111,ndvi,4.6240000000000006
92,-122.81875,46.58958333333333,ndvi,4.984
93,-122.81875,46.58930555555556,ndvi,4.7330000000000005
94,-122.81875,46.58902777777777,ndvi,4.658100000000001
95,-122.81875,46.58875,ndvi,4.2981
96,-122.81875,46.58847222222222,ndvi,4.7330000000000005
97,-122.81875,46.58819444444444,ndvi,4.7330000000000005
98,-122.81875,46.587916666666665,ndvi,4.7330000000000005
99,-122.81875,46.58763888888888,ndvi,4.482
100,-122.81875,46.58736111111111,ndvi,4.2821
101,-122.81875,46.58708333333333,ndvi,4.357
