,x,y,most_significant_source,fire_risk,subSum
1531092,-123.09347222222222,46.42013888888888,ndvi,6.1707,56858.622500000005
1531093,-123.09347222222222,46.4198611111111,ndvi,6.0958000000000006,56858.622500000005
1531094,-123.09347222222222,46.41958333333333,ndvi,6.0958000000000006,56858.622500000005
1531095,-123.09347222222222,46.419305555555546,ndvi,6.0958000000000006,56858.622500000005
1531091,-123.09347222222222,46.42041666666666,ndvi,5.9946,56858.622500000005
1531096,-123.09347222222222,46.41902777777777,ndvi,5.9708000000000006,56858.622500000005
1531221,-123.09319444444444,46.4198611111111,ndvi,5.9708000000000006,56858.622500000005
1531222,-123.09319444444444,46.41958333333333,ndvi,5.9708000000000006,56858.622500000005
1531223,-123.09319444444444,46.419305555555546,ndvi,5.9708000000000006,56858.622500000005
1530965,-123.09375,46.4198611111111,ndvi,5.919700000000001,56858.622500000005
1507884,-123.11069444444443,46.42875,ndvi,5.9908,69504.52279999999
1507885,-123.11069444444443,46.42847222222221,ndvi,5.9908,69504.52279999999
1519692,-123.08486111111112,46.45541666666666,ndvi,5.940600000000001,69504.52279999999
1507882,-123.11069444444443,46.42930555555555,ndvi,5.9159,69504.52279999999
1507883,-123.11069444444443,46.42902777777777,ndvi,5.9159,69504.52279999999
1511247,-123.10319444444444,46.454583333333325,ndvi,5.9159,69504.52279999999
1519819,-123.08458333333334,46.45569444444444,ndvi,5.8657,69504.52279999999
1525819,-123.1048611111111,46.42708333333333,ndvi,5.841,69504.52279999999
1525944,-123.10458333333334,46.42791666666666,ndvi,5.841,69504.52279999999
1525945,-123.10458333333334,46.42763888888888,ndvi,5.841,69504.52279999999
1506081,-123.08152777777778,46.46458333333333,ndvi,6.0257000000000005,62219.165700000005
1506082,-123.08152777777778,46.46430555555556,ndvi,6.0257000000000005,62219.165700000005
1506210,-123.08125,46.46430555555556,ndvi,6.0257000000000005,62219.165700000005
1506080,-123.08152777777778,46.46486111111111,ndvi,5.9508,62219.165700000005
1514941,-123.0951388888889,46.45958333333333,ndvi,5.8711,62219.165700000005
1514427,-123.09625,46.460138888888885,ndvi,5.8295,62219.165700000005
1506208,-123.08125,46.46486111111111,ndvi,5.8258,62219.165700000005
1506209,-123.08125,46.46458333333333,ndvi,5.8258,62219.165700000005
1503428,-123.08708333333334,46.49041666666666,ndvi,5.801,62219.165700000005
1503429,-123.08708333333334,46.490138888888886,ndvi,5.801,62219.165700000005
1499068,-123.09652777777778,46.49263888888888,ndvi,5.717,58405.8475
1499196,-123.09625,46.49263888888888,ndvi,5.717,58405.8475
1489292,-123.08458333333334,46.50347222222222,ndvi,5.6317,58405.8475
1503928,-123.08597222222222,46.49375,ndvi,5.6249,58405.8475
1503929,-123.08597222222222,46.493472222222216,ndvi,5.6249,58405.8475
1483669,-123.09680555555556,46.50097222222222,ndvi,5.620100000000001,58405.8475
1483670,-123.09680555555556,46.50069444444444,ndvi,5.620100000000001,58405.8475
1483795,-123.09652777777778,46.501527777777774,ndvi,5.620100000000001,58405.8475
1483796,-123.09652777777778,46.50125,ndvi,5.620100000000001,58405.8475
1483924,-123.09625,46.50125,ndvi,5.620100000000001,58405.8475
1454516,-123.09347222222222,46.55847222222222,ndvi,5.4488,57886.0771
1454517,-123.09347222222222,46.558194444444446,ndvi,5.4488,57886.0771
1454388,-123.09375,46.55847222222222,ndvi,5.1229000000000005,57886.0771
1454389,-123.09375,46.558194444444446,ndvi,5.1229000000000005,57886.0771
1454643,-123.09319444444444,46.55875,ndvi,5.0888,57886.0771
1454644,-123.09319444444444,46.55847222222222,ndvi,5.0728,57886.0771
1454645,-123.09319444444444,46.558194444444446,ndvi,5.0728,57886.0771
1447604,-123.10847222222222,46.55847222222222,ndvi,4.9888,57886.0771
1447603,-123.10847222222222,46.55875,ndvi,4.9139,57886.0771
1454515,-123.09347222222222,46.55875,ndvi,4.8889000000000005,57886.0771
1439285,-123.09319444444444,46.59125,ndvi,5.892,63316.0818
1439413,-123.09291666666668,46.59125,ndvi,5.892,63316.0818
1432498,-123.10791666666668,46.59208333333333,ndvi,5.7709,63316.0818
1432499,-123.10791666666668,46.591805555555545,ndvi,5.7709,63316.0818
1432500,-123.10791666666668,46.59152777777777,ndvi,5.7709,63316.0818
1432626,-123.10763888888889,46.59208333333333,ndvi,5.7709,63316.0818
1432627,-123.10763888888889,46.591805555555545,ndvi,5.7709,63316.0818
1451175,-123.10069444444444,46.56208333333333,ndvi,5.699800000000001,63316.0818
1432370,-123.10819444444444,46.59208333333333,ndvi,5.696,63316.0818
1432371,-123.10819444444444,46.591805555555545,ndvi,5.696,63316.0818
1432524,-123.10763888888889,46.62041666666666,ndvi,6.1955,70304.18059999999
1432396,-123.10791666666668,46.62041666666666,ndvi,6.1707,70304.18059999999
1432523,-123.10763888888889,46.62069444444444,ndvi,6.1206000000000005,70304.18059999999
1432649,-123.10736111111112,46.62124999999999,ndvi,6.1206000000000005,70304.18059999999
1432779,-123.10708333333334,46.62069444444444,ndvi,6.1206000000000005,70304.18059999999
1432650,-123.10736111111112,46.62097222222221,ndvi,6.0705,70304.18059999999
1432651,-123.10736111111112,46.62069444444444,ndvi,6.0705,70304.18059999999
1432522,-123.10763888888889,46.62097222222221,ndvi,6.0457,70304.18059999999
1433026,-123.1065277777778,46.62319444444444,ndvi,6.0457,70304.18059999999
1433027,-123.1065277777778,46.62291666666666,ndvi,6.0457,70304.18059999999
1433274,-123.10597222222222,46.62541666666666,ndvi,6.1707,69792.8153
1433144,-123.10625,46.62597222222222,ndvi,6.0958000000000006,69792.8153
1433145,-123.10625,46.625694444444434,ndvi,6.0958000000000006,69792.8153
1433273,-123.10597222222222,46.625694444444434,ndvi,6.0958000000000006,69792.8153
1418786,-123.10458333333334,46.629305555555554,ndvi,6.0209,69792.8153
1434426,-123.10347222222222,46.62541666666666,ndvi,6.0209,69792.8153
1434554,-123.10319444444444,46.62541666666666,ndvi,6.0209,69792.8153
1434809,-123.10263888888888,46.625694444444434,ndvi,6.0209,69792.8153
1434810,-123.10263888888888,46.62541666666666,ndvi,6.0209,69792.8153
1434938,-123.10236111111112,46.62541666666666,ndvi,6.0209,69792.8153
1423032,-123.0951388888889,46.65875,ndvi,5.892,62635.6815
1413869,-123.08180555555556,46.67708333333333,ndvi,5.875900000000001,62635.6815
1413997,-123.08152777777778,46.67708333333333,ndvi,5.875900000000001,62635.6815
1425976,-123.08875,46.65875,ndvi,5.817100000000001,62635.6815
1413867,-123.08180555555556,46.677638888888886,ndvi,5.8020000000000005,62635.6815
1413145,-123.08347222222224,46.66486111111111,ndvi,5.801,62635.6815
1413909,-123.08180555555556,46.665972222222216,ndvi,5.801,62635.6815
1414123,-123.08125,46.677638888888886,ndvi,5.801,62635.6815
1414158,-123.08125,46.66791666666666,ndvi,5.801,62635.6815
1414511,-123.08041666666666,46.67652777777777,ndvi,5.801,62635.6815
1380007,-123.05347222222224,46.39708333333333,ndvi,5.966900000000001,58121.8185
1371165,-123.07263888888887,46.3998611111111,ndvi,5.946000000000001,58121.8185
1369459,-123.07625,46.41152777777777,ndvi,5.9407,58121.8185
1370504,-123.07402777777776,46.40569444444444,ndvi,5.8711,58121.8185
1379378,-123.05486111111112,46.39402777777777,ndvi,5.817100000000001,58121.8185
1371164,-123.07263888888887,46.40013888888888,ndvi,5.7699,58121.8185
1380006,-123.05347222222224,46.3973611111111,ndvi,5.767,58121.8185
1374630,-123.0651388888889,46.3973611111111,ndvi,5.7198,58121.8185
1374758,-123.06486111111111,46.3973611111111,ndvi,5.7198,58121.8185
1374759,-123.06486111111111,46.39708333333333,ndvi,5.7198,58121.8185
1361541,-123.06013888888889,46.43958333333333,ndvi,5.801,72817.85239999999
1361931,-123.05930555555555,46.43791666666666,ndvi,5.801,72817.85239999999
1361932,-123.05930555555555,46.43763888888888,ndvi,5.801,72817.85239999999
1362684,-123.05763888888887,46.44208333333333,ndvi,5.801,72817.85239999999
1363861,-123.05513888888888,46.43513888888888,ndvi,5.801,72817.85239999999
1354159,-123.07625,46.42791666666666,ndvi,5.7656,72817.85239999999
1361933,-123.05930555555555,46.4373611111111,ndvi,5.726100000000001,72817.85239999999
1362060,-123.05902777777776,46.43763888888888,ndvi,5.726100000000001,72817.85239999999
1367446,-123.04736111111112,46.434861111111104,ndvi,5.726100000000001,72817.85239999999
1353937,-123.07652777777778,46.45402777777777,ndvi,5.717,72817.85239999999
1244052,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1259284,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1274516,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1289748,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1304980,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1320212,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1335444,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1350676,-123.05069444444445,46.46819444444444,ndvi,5.9508,454888.10329999996
1243155,-123.0526388888889,46.46847222222222,ndvi,5.801,454888.10329999996
